{'loss': 0.8848, 'grad_norm': 0.1296004354953766, 'learning_rate': 1.953001003103159e-05, 'epoch': 0.38}
{'loss': 0.8784, 'grad_norm': 0.13372619450092316, 'learning_rate': 1.9523974813246765e-05, 'epoch': 0.38}
{'loss': 0.8696, 'grad_norm': 0.12265262007713318, 'learning_rate': 1.9517902037252228e-05, 'epoch': 0.38}
{'loss': 0.8778, 'grad_norm': 0.13230803608894348, 'learning_rate': 1.9511791726996243e-05, 'epoch': 0.38}
{'loss': 0.8691, 'grad_norm': 0.1322147101163864, 'learning_rate': 1.9505643906575073e-05, 'epoch': 0.38}
{'loss': 0.8815, 'grad_norm': 0.13826045393943787, 'learning_rate': 1.949945860023292e-05, 'epoch': 0.38}
{'loss': 0.8679, 'grad_norm': 0.128519207239151, 'learning_rate': 1.9493235832361812e-05, 'epoch': 0.38}
{'loss': 0.871, 'grad_norm': 0.14745202660560608, 'learning_rate': 1.9486975627501503e-05, 'epoch': 0.39}
{'loss': 0.8639, 'grad_norm': 0.16732266545295715, 'learning_rate': 1.9480678010339383e-05, 'epoch': 0.39}
{'loss': 0.8733, 'grad_norm': 0.18996883928775787, 'learning_rate': 1.947434300571038e-05, 'epoch': 0.39}
{'loss': 0.8795, 'grad_norm': 0.17695745825767517, 'learning_rate': 1.946797063859686e-05, 'epoch': 0.39}
{'loss': 0.8685, 'grad_norm': 0.122196726500988, 'learning_rate': 1.9461560934128535e-05, 'epoch': 0.39}
{'loss': 0.8902, 'grad_norm': 0.18255206942558289, 'learning_rate': 1.9455113917582347e-05, 'epoch': 0.39}
{'loss': 0.8707, 'grad_norm': 0.18707509338855743, 'learning_rate': 1.9448629614382394e-05, 'epoch': 0.39}
{'loss': 0.8744, 'grad_norm': 0.13617293536663055, 'learning_rate': 1.9442108050099803e-05, 'epoch': 0.39}
{'loss': 0.8741, 'grad_norm': 0.16145363450050354, 'learning_rate': 1.9435549250452644e-05, 'epoch': 0.39}
{'loss': 0.8826, 'grad_norm': 0.15612882375717163, 'learning_rate': 1.942895324130584e-05, 'epoch': 0.4}
{'loss': 0.8763, 'grad_norm': 0.13026827573776245, 'learning_rate': 1.942232004867103e-05, 'epoch': 0.4}
{'loss': 0.8694, 'grad_norm': 0.1334036886692047, 'learning_rate': 1.9415649698706506e-05, 'epoch': 0.4}
{'loss': 0.877, 'grad_norm': 0.12242511659860611, 'learning_rate': 1.940894221771708e-05, 'epoch': 0.4}
{'loss': 0.8751, 'grad_norm': 0.1256885975599289, 'learning_rate': 1.940219763215399e-05, 'epoch': 0.4}
{'loss': 0.8653, 'grad_norm': 0.12263314425945282, 'learning_rate': 1.9395415968614815e-05, 'epoch': 0.4}
{'loss': 0.8708, 'grad_norm': 0.12069143354892731, 'learning_rate': 1.9388597253843334e-05, 'epoch': 0.4}
{'loss': 0.8591, 'grad_norm': 0.1222563311457634, 'learning_rate': 1.9381741514729443e-05, 'epoch': 0.4}
{'loss': 0.885, 'grad_norm': 0.12537287175655365, 'learning_rate': 1.9374848778309055e-05, 'epoch': 0.41}
{'loss': 0.8687, 'grad_norm': 0.11172547191381454, 'learning_rate': 1.936791907176397e-05, 'epoch': 0.41}
{'loss': 0.8742, 'grad_norm': 0.12021757662296295, 'learning_rate': 1.9360952422421794e-05, 'epoch': 0.41}
{'loss': 0.876, 'grad_norm': 0.12370087951421738, 'learning_rate': 1.93539488577558e-05, 'epoch': 0.41}
{'loss': 0.8745, 'grad_norm': 0.10957028716802597, 'learning_rate': 1.9346908405384867e-05, 'epoch': 0.41}
{'loss': 0.8721, 'grad_norm': 0.14121240377426147, 'learning_rate': 1.9339831093073317e-05, 'epoch': 0.41}
{'loss': 0.8685, 'grad_norm': 0.12112719565629959, 'learning_rate': 1.933271694873084e-05, 'epoch': 0.41}
